source,target,tgt_lng
vision RL,视觉强化学习,
joint multimodal RL,联合多模态强化学习,
modality-specific expert divisions,模态特定专家划分,
Generative Reward Model,生成式奖励模型,
GRM,GRM,
heterogeneous traces,异构轨迹,
agent-based systems,基于代理的系统,
sequential execution,顺序执行,
tool-calling steps,工具调用步骤,
short-horizon tasks,短视任务,
multi-branch reasoning,多分支推理,
sequential systems,顺序系统,
Kimi K2.5 Agent Swarm,Kimi K2.5智能体群,
Claude Opus 4.5,Claude Opus 4.5,
GPT-5.2 Pro,GPT-5.2 Pro,
WideSearch,WideSearch,
Discard-all,Discard-all,
vision–text reasoning,视觉-文本推理,
vision–text intelligence,视觉-文本智能,
agent swarms,智能体群,
General Agentic Intelligence,通用智能体智能,
TECHNICAL REPORT,技术报告,
Table5,表5,
Performance,性能,
token efficiency,token效率,
reasoning models,推理模型,
Average output token counts,平均输出token数,
Benchmark,基准测试,
Kimi K2,Kimi K2,
Gemini-3.0,Gemini-3.0,
Thinking,思考,
Pro,Pro,
Hongkong University,香港大学,
QK-Clip,QK-Clip,
MuonClip,MuonClip,
Kimi-VL,Kimi-VL,
MoonViT-3D,MoonViT-3D,
NaViT,NaViT,
SigLIP-SO-400M,SigLIP-SO-400M,
SigLIP,SigLIP,
CoCa,CoCa,
Moonlight-16B-A3B,Moonlight-16B-A3B,
MLP projector,MLP投影器,
sparsity,稀疏性,
vision encoder,视觉编码器,
patch packing strategy,分块打包策略,
embedding space,嵌入空间,
temporal attention,时间注意力,
temporal pooling,时间池化,
context windows,上下文窗口,
image-text pairs,图像-文本对,
video-text pairs,视频-文本对,
grounding bboxes,锚框,
OCR texts,OCR文本,
contrastive loss,对比损失,
cross-entropy loss,交叉熵损失,
alignment strategy,对齐策略,
A Contributions,贡献,
Tongtong Bai,白同桐,
Yifan Bai,白一帆,
Yiping Bao,包一平,
S.H. Cai,蔡S.H.,
Yuan Cao,曹元,
Y. Charles,查尔斯Y.,
H.S. Che,谢H.S.,
Cheng Chen,陈程,
Guanduo Chen,陈冠多,
Huarong Chen,陈华荣,
Xinyi Jin,金新怡,
Yu Jing,景宇,
Guokun Lai,来国昆,
Aidi Li,李爱迪,
C. Li,李C,
Cheng Li,李成,
Fang Li,李方,
Guanghe Li,李广和,
Guanyu Li,李冠宇,
Haitao Li,李海涛,
Haoyang Li,李浩阳,
Jia Li,李嘉,
Jingwei Li,李景伟,
Yuhao Dong,董宇豪,
Ang’ang Du,杜昂昂,
Chenzhuang Du,杜陈庄,
Dikang Du,杜狄康,
Lingxiao Du,杜凌晓,
Yulun Du,杜宇伦,
Yu Fan,范宇,
Shengjun Fang,方胜军,
Qiulin Feng,冯秋林,
Yichen Feng,冯奕辰,
Garimugai Fu,付嘉瑞,
Kelin Fu,付科林,
Hongcheng Gao,高洪成,
Vision:Text,视觉：文本,
Steps,步骤,
Text Knowledge,文本知识,
Text General Reasoning,文本一般推理,
ContextLength,上下文长度,
Reward Function,奖励函数,
rule-based outcome reward,基于规则的成果奖励,
verifiable solutions,可验证的解决方案,
budget-control reward,预算控制奖励,
Generative Reward Models (GRMs),生成式奖励模型（GRMs）,
Kimi’s internal value criteria,Kimi的内部价值标准,
F1-based reward,基于F1的奖励,
soft matching,软匹配,
Intersection over Union (IoU),交并比（IoU）,
Gaussian-weighted distances,高斯加权距离,
polygon segmentation,多边形分割,
rasterize,光栅化,
binary mask,二值掩码,
segmentation IoU,分割IoU,
ground-truth mask,真实掩码,
normalized edit distance,归一化编辑距离,
character-level alignment,字符级对齐,
counting tasks,计数任务,
absolute difference,绝对差值,
complex visual puzzle problems,复杂视觉拼图问题,
LLM verifier (Kimi K2),大语言模型验证器（Kimi K2）,
self-critique rubric reward,自我批评评分奖励,
open-ended generation,开放式生成,
K2.5,K2.5,
Wenyang He,何文阳,
Yunjia He,何云嘉,
Chao Hong,洪超,
Hao Hu,胡浩,
Jiaxi Hu,胡嘉熙,
Yangyang Hu,胡阳阳,
Zhenxing Hu,胡振星,
Ke Huang,黄科,
Ruiyuan Huang,黄瑞元,
Weixiao Huang,黄伟晓,
Zhiqi Huang,黄志奇,
Tao Jiang,蒋涛,
Zhejun Jiang,蒋哲俊,
Yuankun Chen,陈元坤,
Yujie Chen,陈宇杰,
Yutian Chen,陈宇天,
Zhirong Chen,陈志荣,
Ziwei Chen,陈子伟,
Dazhi Cheng,程大智,
Minghan Chu,楚明瀚,
Jialei Cui,崔佳蕾,
Jiaqi Deng,邓嘉琪,
Muxi Diao,貂木溪,
Hao Ding,丁浩,
Mengnan Dong,董梦楠,
Yuxin Dong,董宇欣,
Tong Gao,高通,
Yuyao Ge,葛宇瑶,
Shangyi Geng,耿上艺,
Chengyang Gong,Gong成阳,
Xiaochen Gong,Gong晓辰,
Zhuoma Gongque,Gongque朱玛,
Qizheng Gu,Gu齐正,
Xinran Gu,Gu欣然,
Yicheng Gu,Gu一成,
Longyu Guan,Guan龙宇,
Yuanying Guo,Guo袁莹,
Xiaoru Hao,Hao晓如,
Weiran He,He魏然,
Weizhou Liu,刘伟周,
Xiangyan Liu,刘向岩,
Yangyang Liu,刘阳阳,
Yanming Liu,刘艳明,
Yibo Liu,刘一博,
Yuanxin Liu,刘元欣,
Yue Liu,刘越,
Zhengying Liu,刘正英,
Zhongnuo Liu,刘中诺,
Enzhe Lu,陆恩哲,
Haoyu Lu,陆浩宇,
Zhiyuan Lu,陆志远,
Junyu Luo,罗军宇,
VISUAL AGENTIC INTELLIGENCE,视觉自主智能,
Kimi Team,Kimi团队,
open-source multimodal agentic model,开源多模态自主模型,
text and vision,文本和视觉,
joint text-vision pre-training,联合文本-视觉预训练,
joint text-vision reinforcement learning,联合文本-视觉强化学习,
multimodal foundation,多模态基础,
self-directed parallel agent orchestration framework,自导向并行代理编排框架,
heterogeneous sub-problems,异构子问题,
concurrently,并发执行,
coding,编程,
vision,视觉,
agentic tasks,自主任务,
latency,延迟,
single-agent baselines,单代理基线,
post-trained Kimi K2.5 model checkpoint,预训练KIMI K2.5模型检查点,
agentic intelligence,自主智能,
Large Language Models (LLMs),大语言模型,
Kimi K2-Thinking,Kimi K2-Thinking,
tool calling,工具调用,
interleaved reasoning and actions,交替推理和行动,
Jia Chen,贾晨,
Jiahao Chen,嘉豪·陈,
Jianlong Chen,建龙·陈,
Jun Chen,俊·陈,
Kefan Chen,科帆·陈,
Liang Chen,亮·陈,
Ruijue Chen,瑞杰·陈,
Xinhao Chen,新豪·陈,
Yanru Chen,艳如·陈,
Yanxu Chen,彦旭·陈,
Yicun Chen,奕存·陈,
Yimin Chen,一民·陈,
Yingjiang Chen,英江·陈,
Junxiong Li,李军雄,
Lincan Li,李林灿,
Mo Li,李墨,
Weihong Li,李伟红,
Wentao Li,李文涛,
Xinhang Li,李新航,
Xinhao Li,李新浩,
Yang Li,李杨,
Yanhao Li,李彦豪,
Yiwei Li,李艺伟,
Yuxiao Li,李宇晓,
Zhaowei Li,李兆伟,
Zheming Li,李哲明,
Yuzhi Wang,王宇智,
Zhaoji Wang,王赵基,
Zhaowei Wang,王兆伟,
Zhengtao Wang,王正涛,
Zhexu Wang,王哲旭,
Zihan Wang,王志涵,
Zizhe Wang,王子哲,
Chu Wei,朱伟,
Ming Wei,魏明,
Chuan Wen,温传,
Zichen Wen,温智辰,
Haoning Wu,吴浩宁,
Junyan Wu,吴俊岩,
Feifan Song,宋非凡,
Pengwei Song,宋鹏伟,
Tianhui Song,宋天辉,
Xiaoxi Song,宋晓希,
Hongjin Su,苏洪金,
Jianlin Su,苏建林,
Zhaochen Su,苏赵晨,
Lin Sui,隋林,
Jinsong Sun,孙金松,
Junyao Sun,孙俊瑶,
Tongyu Sun,孙通宇,
Flood Sung,沈洪水,
Yunpeng Tai,台云鹏,
create_subagent,创建子代理,
assign_task,分配任务,
system prompt,系统提示,
identifier,标识符,
tool schemas,工具模式,
STEM benchmarks,STEM基准测试,
GPQA,GPQA,
HLE,HLE,
HLE-Full,HLE-Full,
SWE-Bench Verified,SWE-Bench Verified,
LiveCodeBench v6,LiveCodeBench v6,
DeepSeekV3.2,DeepSeekV3.2,
TerminalBench 2.0,TerminalBench 2.0,
PaperBench,PaperBench,
Discard-all context management,Discard-all上下文管理,
FinSearch-CompT2&T3,FinSearch-CompT2&T3,
Chuning Tang,唐春,
Heyi Tang,唐Heyi,
Xiaojuan Tang,唐晓娟,
Zhengyang Tang,唐正阳,
Jiawen Tao,陶嘉文,
Shiyuan Teng,滕诗源,
Chaoran Tian,田超然,
Pengfei Tian,田鹏飞,
Ao Wang,王澳,
Bowen Wang,王 Bowen,
Chensi Wang,王宸,
Chuang Wang,王创,
Congcong Wang,王聪聪,
Swarm Bench,群集基准,
Orchestrator,编排器,
In-house Swarm bench,内部群集基准,
PARL,PARL,
Hide-Tool-Result,隐藏工具结果,
Summary,摘要,
context sharding,上下文分片,
Y. Zhang,张毅,
Yadong Zhang,张亚东,
Yangkun Zhang,张阳坤,
Yichi Zhang,张奕驰,
Yizhi Zhang,张奕之,
Yongting Zhang,张永庭,
Yu Zhang,张宇,
Yushun Zhang,张宇顺,
Yutao Zhang,张宇涛,
Yutong Zhang,张宇通,
Zheng Zhang,张政,
Chenguang Zhao,赵晨光,
Feifan Zhao,赵飞帆,
Rucong Wu,吴若丛,
Wenhao Wu,吴文浩,
Yuefeng Wu,吴越峰,
Yuhao Wu,吴宇豪,
Yuxin Wu,吴雨欣,
Zijian Wu,吴子健,
Chenjun Xiao,肖晨俊,
Jin Xie,谢进,
Xiaotong Xie,谢晓彤,
Yuchong Xie,谢宇崇,
Yifei Xin,辛怡飞,
Bowei Xing,刑博文,
Boyu Xu,徐伯宇,
Zhen Yang,杨振,
Zhilin Yang,杨志林,
Zonghan Yang,杨宗汉,
Haotian Yao,姚浩天,
Dan Ye,叶丹,
Wenjie Ye,叶文杰,
Zhuorui Ye,叶卓睿,
Bohong Yin,尹博文,
Chengzhen Yu,余成臻,
Longhui Yu,余龙辉,
Tao Yu,余涛,
Tianxiang Yu,余天翔,
Enming Yuan,袁恩明,
Mengjie Yuan,袁梦洁,
Xiaokun Yuan,袁晓坤,
Yang Yue,岳杨,
Weihao Zeng,曾伟豪,
Dunyuan Zha,翟 Dunyuan,
Haobing Zhan,战昊冰,
Dehao Zhang,张德华,
Hao Zhang,张浩,
Jin Zhang,张金,
Puqi Zhang,张普奇,
Qiao Zhang,张俏,
Rui Zhang,张瑞,
Xiaobin Zhang,张晓斌,
Ziyao Xu,徐子晔,
Junjie Yan,闫俊杰,
Yuzi Yan,闫宇齐,
Guangyao Yang,杨广耀,
Hao Yang,杨浩,
Kai Yang,杨凯,
Ningyuan Yang,杨宁远,
Ruihan Yang,杨瑞涵,
Xiaofei Yang,杨晓飞,
Xinlong Yang,杨新龙,
Ying Yang,杨颖,
Yi (弋) Yang,杨弋,
Yi (翌) Yang,杨翌,
Dingkun Wang,王丁坤,
Dinglu Wang,王丁录,
Dongliang Wang,王东亮,
Feng Wang,王峰,
Hailong Wang,王海龙,
Haiming Wang,王海明,
Hengzhi Wang,王恒志,
Huaqing Wang,王华清,
Hui Wang,王辉,
Jiahao Wang,王嘉豪,
Jinhong Wang,王金红,
Jiuzheng Wang,王九正,
Kaixin Wang,王凯欣,
Jiawei Lin,林佳伟,
Xiaohan Lin,林晓寒,
Zhishan Lin,林志山,
Zichao Lin,林子超,
Cheng Liu,刘程,
Chenyu Liu,刘晨宇,
Hongzhang Liu,刘洪章,
Liang Liu,刘亮,
Shaowei Liu,刘少伟,
Shudong Liu,刘舒东,
Shuran Liu,刘舒然,
Tianwei Liu,刘天伟,
Tianyu Liu,刘天宇,
LLM Gateway,LLM网关,
Engine,引擎,
Service,服务,
Inference,推理,
Recursive Call,递归调用,
Token-in,输入标记,
Token-out,输出标记,
ActObs,行为观察,
Mismatch Correction,不匹配校正,
Jianfan Xu,徐建藩,
Jing Xu,徐静,
Jinjing Xu,徐金晶,
L.H. Xu,徐L.H.,
Lin Xu,徐琳,
Suting Xu,徐素婷,
Weixin Xu,徐微信,
Xinbo Xu,徐新波,
Xinran Xu,徐新然,
Yangchuan Xu,徐杨川,
Yichang Xu,徐宜昌,
Yuemeng Xu,徐月萌,
Zelai Xu,徐泽来,
Bo Pang,Bo Pang,
Yuchao Qian,Yuchao Qian,
Ruoyu Qin,Ruoyu Qin,
Zeyu Qin,Zeyu Qin,
Jiezhong Qiu,Jiezhong Qiu,
Bowen Qu,Bowen Qu,
Zeyu Shang,Zeyu Shang,
Youbo Shao,Youbo Shao,
Tianxiao Shen,Tianxiao Shen,
Zhennan Shen,Zhennan Shen,
Juanfeng Shi,Juanfeng Shi,
Lidong Shi,Lidong Shi,
Shengyuan Shi,Shengyuan Shi,
Black-Box Env,黑盒环境,
Toolset,工具集,
Judge,裁判,
Prompt & Instruction,提示与指令,
Enhancement,增强,
Pluggable Components,可插拔组件,
White-Box Env,白盒环境,
Env Pool,环境池,
AAct Obs,行动观察,
Core Agent Loop,核心智能体循环,
Rollout,展开,
Manager,管理者,
Single Agent Task,单智能体任务,
Prologue,序幕,
Erlang Shen,二郎神,
Chapter 1 boss fight,第一章Boss战,
Black Wind King,黑风王,
Final Chapter,终章,
Flying on Somersault Cloud,筋斗云飞,
HTML page,HTML页面,
HTML showcase,HTML展示,
subagents,子代理,
Linian Wang,王林岩,
Qibin Wang,王启斌,
Shengjie Wang,王胜杰,
Shuyi Wang,王舒毅,
Si Wang,王思,
Wei Wang,王伟,
Xiaochen Wang,王晓辰,
Xinyuan Wang,王晓媛,
Yao Wang,王瑶,
Yejie Wang,王晔杰,
Yipu Wang,王奕普,
Yiqin Wang,王怡琴,
Yucheng Wang,王宇成,
Red,红色,
Pink,粉色,
Blue,蓝色,
Green,绿色,
TotalofGreen+Blue,绿色+蓝色总和,
standardpiechartproportions,标准饼图比例,
Colormaskalgorithm,颜色掩码算法,
FinSearchComp,FinSearchComp,
GPipe,GPipe,
Swe-bench,Swe-bench,
Muon,Muon,
Kimi k1.5,Kimi k1.5,
Obelics,Obelics,
Gshard,Gshard,
InfographicVQA,InfographicVQA,
Terminal-Bench,Terminal-Bench,
Megatron-LM,Megatron-LM,
GPT 5.2,GPT 5.2,
OmniDocBench,OmniDocBench,
GDPval,GDPval,
Yarn,Yarn,
SealQA,SealQA,
Laion-5b,Laion-5b,
Proximal Policy Optimization Algorithms,近端策略优化算法,
Runjie Zhou,周润吉,
Xinyu Zhou,周新宇,
Zaida Zhou,周载大,
Jinguo Zhu,朱金国,
Liya Zhu,朱丽雅,
Xinhao Zhu,朱新浩,
Yuxuan Zhu,朱宇轩,
Zhen Zhu,朱振,
Jingze Zhuang,庄景泽,
Weiyu Zhuang,庄伟宇,
Ying Zou,邹颖,
Xinxing Zu,Zu新行,
agentic search,代理式搜索,
HLE evaluations,HLE评估,
DAT E,DAT E,
timestamp,时间戳,
Kimi,Kimi,
DATE,日期,
deep research,深度研究,
high-trust sources,高信任来源,
low-trust sources,低信任来源,
numerical calculations,数值计算,
programming tools,编程工具,
[^index^],[^index^],
Black Myth: Wukong,黑神话：悟空,
gameplay video,游戏玩法视频,
analysis,分析,
analysis_01.json,分析_01.json,
pathfindingalgorithm,路径规划算法,
BFS,广度优先搜索,
A*,A*算法,
visualizethepath,可视化路径,
startingpoint,起点,
finishline,终点,
Binarizationalgorithm,二值化算法,
BFSalgorithm,广度优先搜索算法,
HSV,HSV,
lower_red1,lower_red1,
upper_red1,upper_red1,
lower_red2,lower_red2,
upper_red2,upper_red2,
Totalcoloredpixels,总着色像素,
Red/Pinkpixels,红/粉红像素,
Bluepixels,蓝色像素,
Greenpixels,绿色像素,
Sumofallcolors,所有颜色总和,
Python,Python,
Calendarimagevariation,日历图像变化,
Slothexpression,树懒表情,
ClosedvsOpenmouth,闭嘴与张嘴,
Nick'seyestate,尼克眼部状态,
SquintingvsOpen,眯眼与张眼,
Judy'sfacialadjustments,朱迪面部调整,
CrumpledpapervsPaperairplane,揉皱纸张与纸飞机,
Monitordisplaycontent,显示器显示内容,
Mugtextchange,马克杯文字变化,
'YOUWANTITWHEN?'vs'I'LLGETTOIT','你想要它何时？'与'我会去拿它',
Watchface/colorvariation,手表表盘颜色变化,
Filefolderposition/shape,文件文件夹位置/形状,
Samplecoloralgorithm,示例颜色算法,
ConverttoHSVforbettercolorsegmentation,转换为HSV以进行更好的颜色分割,
cv2.cvtColor,cv2.cvtColor,
Tongxu Luo,罗通旭,
Yashuo Luo,罗亚寿,
Long Ma,马龙,
Yingwei Ma,马英伟,
Shaoguang Mao,毛少光,
Yuan Mei,梅元,
Xin Men,门新,
Fanqing Meng,孟繁庆,
Zhiyong Meng,孟志勇,
Yibo Miao,苗一博,
Minqing Ni,倪明清,
Kun Ouyang,欧阳坤,
Siyuan Pan,潘思源,
Moonshot AI,Moonshot AI,
Kimi K2 Thinking,Kimi K2 思维,
Kimi-Researcher,Kimi-Researcher,
Emerging Agentic Capabilities,新兴代理能力,
Amazon Web Services,亚马逊网络服务,
Amazon Simple Storage Service (Amazon S3),亚马逊简单存储服务（亚马逊 S3）,
Mathematical Association of America,美国数学协会,
American Invitational Mathematics Examination I,美国邀请数学考试 I,
Anthropic,Anthropic,
Building multi-agent systems: when and how to use them,构建多代理系统：何时以及如何使用它们,
Claude Opus 4.5 System Card,Claude Opus 4.5 系统卡,
How we built our multi-agent research system,我们如何构建我们的多代理研究系统,
Shuai Bai,Shuai Bai,
Qwen3-VL,Qwen3-VL,
Greg Brockman,Greg Brockman,
OpenAI Gym,OpenAI Gym,
Tom B. Brown,Tom B. Brown,
Language Models are Few-Shot Learners,语言模型是少样本学习者,
Xianfu Cheng,Xianfu Cheng,
DeepSeek-AI,DeepSeek-AI,
Mostafa Dehghani,Mostafa Dehghani,
Patch n’ Pack,Patch n’ Pack,
Xiang Deng,Xiang Deng,
SWE-Bench Pro,SWE-Bench Pro,
Chaoyou Fu,Chaoyou Fu,
Xingyu Fu,Xingyu Fu,
Samir Yitzhak Gadre,Samir Yitzhak Gadre,
Datacomp,Datacomp,
Google,谷歌,
Dong Guo,Dong Guo,
Seed1.5-VL,Seed1.5-VL,
Lukas Haas,Lukas Haas,
Yun He,Yun He,
Wenyi Hong,Wenyi Hong,
Kairui Hu,Kairui Hu,
Video-MMMU,Video-MMMU,
