source,target,tgt_lng
Ren et al.,Ren等,
Omni,Omni,
MoE,MoE,
Riquelme et al.,Riquelme等,
Lee et al.,Lee等,
Liang et al.,梁等,
Guo et al.,郭等,
Tong et al.,Tong等,
OmniDocBench,OmniDocBench,
OCR-related understanding benchmarks,OCR相关理解基准,
scene text,场景文本,
chart,图表,
diagram,图表,
document,文档,
InfoVQA,InfoVQA,
infographics,信息图,
text-rich scenarios,文本丰富场景,
charts,图表,
maps,地图,
webs,网页,
InternVL2.5-78B,InternVL2.5-78B,
OCRBench_v2,OCRBench_v2,
OCR-related parsing and understanding tasks,OCR相关解析和理解任务,
Gemini 1.5-Pro,Gemini 1.5-Pro,
Sonnet,Sonnet,
GPT-4o,GPT-4o,
HumanEval,HumanEval,
MultiPL-E,MultiPL-E,
Alignment Tasks,对齐任务,
IFEval,IFEval,
3.3 Quantitative Results,3.3 定量结果,
3.3.1 General Visual QuestionAnswering,3.3.1 一般视觉问答,
state-of-the-art performance,最先进性能,
VQA tasks,视觉问答任务,
subjective evaluations,主观评估,
multilingual scenarios,多语言场景,
multi-image questions,多图像问题,
MMBench series,MMBench系列,
MME,MME,
CRPE,CRPE,
HallBench,HallBench,
MME-RealWorld,MME-RealWorld,
MMBench-EN-V1.1 dataset,MMBench-EN-V1.1数据集,
Claude-3.5 Sonnet-0620,Claude-3.5 Sonnet-0620,
high-resolution real-world scenarios,高分辨率真实场景,
MME-RealWorld benchmark,MME-RealWorld基准,
multi-image understanding tasks,多图像理解任务,
MuirBench dataset,MuirBench数据集,
Zhe Chen,陈哲,
Jiannan Wu,吴建南,
Wenhai Wang,王文海,
Weijie Su,苏伟杰,
Guo Chen,陈国,
Sen Xing,行森,
Muyan Zhong,钟沐言,
Qinglong Zhang,张清龙,
Xizhou Zhu,朱锡舟,
Lewei Lu,陆磊伟,
Bin Li,李斌,
Ping Luo,罗平,
Tong Lu,陆通,
Yu Qiao,乔宇,
Jifeng Dai,戴继锋,
Internvl,Internvl,
vision foundation models,视觉基础模型,
generic visual-linguistic tasks,通用视觉语言任务,
arXiv preprint arXiv:2312.14238,arXiv预印本arXiv:2312.14238,
arXiv preprint arXiv:2412.05271,arXiv预印本arXiv:2412.05271,
arXiv preprint arXiv:2401.10935,arXiv预印本arXiv:2401.10935,
arXiv preprint arXiv:2110.14168,arXiv预印本arXiv:2110.14168,
CoRR,CoRR,
abs/2110.14168,abs/2110.14168,
ICML,ICML,
Proceedings of Machine Learning Research,机器学习研究论文集,
PMLR,PMLR,
Google Deepmind,Google Deepmind,
gemini 2.0,gemini 2.0,
ai model,AI模型,
agentic era,代理时代,
An Yang,杨安,
Binyuan Hui,胡斌元,
Bowen Yu,余博文,
Chen Cheng,陈成,
Dayiheng Liu,刘大恒,
Fan Hong,黄帆,
Fei Huang,黄飞,
Jiawei Liu,刘佳伟,
Jin Xu,徐金,
Jianhong Tu,涂建红,
Jianyuan Zeng,曾建元,
Jie Zhang,张杰,
Jinkai Wang,王金凯,
Jianwei Zhang,张建伟,
Jingren Zhou,周景仁,
Kexin Yang,杨克欣,
Mei Li,李梅,
Ming Yan,闫明,
Na Ni,倪娜,
Rui Men,门瑞,
Songtao Jiang,蒋松涛,
Xiaodong Deng,邓晓东,
Xiaoming Huang,黄小明,
Ximing Zhou,周小明,
Xingzhang Ren,任兴章,
Yang Fan,杨帆,
Yichang Zhang,张一畅,
Yikai Zhu,朱一凯,
Yuqiong Liu,刘雨琼,
Zhifang Guo,郭志芳,
