source,target,tgt_lng
MTP,MTP,
IFEval,IFEval,
WildBench,WildBench,
Arena-Hard,Arena-Hard,
RULER,RULER,
Long-Bench v2,Long-Bench v2,
HELMET,HELMET,
GSM-Infinite,GSM-Infinite,
FRAMES,FRAMES,
S3F1 layout,S3F1布局,
full-attention baseline,全注意力基线,
general pretraining benchmarks,通用预训练基准,
SFT quality,SFT质量,
SFT Avg,SFT平均,
SWA query heads,SWA查询头,
SFT Reasoning,SFT推理,
SFT Code,SFT代码,
head-wise gated attention,头门控注意力,
sink token metric,汇流标记指标,
BrowseComp,BrowseComp,
Δtool,Δtool,
HMMT 2025,HMMT 2025,
tool-integrated reasoning,工具集成推理,
parallel reasoning,并行推理,
Python interpreter,Python解释器,
sandbox,沙盒,
AIME,AIME,
HMMT,HMMT,
IMO,IMO,
GPQ,GPQ,
ARC,ARC,
Accuracy (avg@8),平均@8准确率,
Codeforces C++,Codeforces C++,
Model,模型,
pass@8 Rating,通过@8评级,
external search engines,外部搜索引擎,
scientific data,科学数据,
open-source checkers,开源检查器,
real-world constraints,现实世界约束,
open-source,开源,
synthetic,合成,
user trajectories,用户轨迹,
high-fidelity dataset,高保真数据集,
billion-token scale,百亿级token规模,
execution-driven data generation framework,执行驱动数据生成框架,
intelligent agents,智能体,
synthetic pipelines,合成管道,
data inconsistency,数据不一致性,
verifiability,可验证性,
model hallucinations,模型幻觉,
random exploration,随机探索,
model-based simulation,基于模型的模拟,
finite state machine,有限状态机,
FSM,有限状态机,
sample–execute–verify loop,采样-执行-验证循环,
rejection sampling,拒绝采样,
candidate trajectories,候选轨迹,
real environments,真实环境,
deterministic feedback,确定性反馈,
atomic intents,原子意图,
compositionally combining,组合式结合,
high-quality trajectories,高质量轨迹,
code agents,代码代理,
closed-loop intervention,闭环干预,
verifiable environment construction,可验证环境构建,
solution generation,解决方案生成,
SWE-factory framework,SWE-factory框架,
cross-task memory pool,跨任务内存池,
loop-detection mechanism,循环检测机制,
environment-building success rate,环境构建成功率,
positive feedback loop,正向反馈循环,
dense supervision,密集监督,
environment construction trajectories,环境构建轨迹,
shell commands,shell命令,
error recovery,错误恢复,
transient failures,瞬态故障,
redundant execution patterns,冗余执行模式,
final resolution,最终解决方案,
bootstrapped environments,引导环境,
bidirectional transfer,双向迁移,
construction expertise,构建专业知识,
coding performance,编码性能,
DockSmith,DockSmith,
verified environments,验证环境,
GitHub repositories,GitHub仓库,
programming languages,编程语言,
real-world scenarios,现实世界场景,
generalist code agents,通用代码代理,
search and research agents,搜索和研究代理,
BrowseComp-ZH,BrowseComp-ZH,
xbench,xbench,
DeepSearch-2505,DeepSearch-2505,
DeepSearch-2510,DeepSearch-2510,
AGENT,AGENT,
ΔAVG@3,ΔAVG@3,
METRIC,指标,
PASS RATE,通过率,
OpenAI,OpenAI,
Openai o3-mini,Openai o3-mini,
gpt-5,gpt-5,
Haolong Yan,闫浩龙,
Jia Wang,王嘉,
Xin Huang,黄欣,
Yeqing Shen,沈叶青,
Ziyang Meng,孟子阳,
Zhimin Fan,范志明,
Kaijun Tan,谭凯俊,
Jin Gao,高金,
Lieyu Shi,石立宇,
Mi Yang,杨米,
Step-gui technical report,Step-gui 技术报告,
arXiv preprint arXiv:2512.15431,arXiv 预印本 arXiv:2512.15431,
Agent System,智能体系统,
Score,分数,
Gemini DeepResearch,Gemini DeepResearch,
OpenAI DeepResearch,OpenAI DeepResearch,
Kimi Researcher,Kimi Researcher,
MiniMax Agent Pro,MiniMax Agent Pro,
Qwen DeepResearch,Qwen DeepResearch,
R E S E A R C HR U B R I C S benchmar,R E S E A R C HR U B R I C S 基准测试,
LLM,大语言模型,
ReAct framework,ReAct 框架,
batch_web_surfer,批量网页浏览器,
file,文件,
Table 12,表12,
Step 3.5 Flash w. Python,步骤3.5闪存+Python,
Tool-integrated Parallel Reasoning,工具集成并行推理,
standard LLM message interface,标准LLM消息接口,
existing agentic frameworks,现有代理框架,
multi-turn tool interaction,多轮工具交互,
state-aware input serialization protocol,状态感知输入序列化协议,
Table 13,表13,
agentic loops,代理循环,
standard reasoning baseline,标准推理基线,
interactive feedback,交互反馈,
agentic test-time scaling,代理测试时扩展,
Benchmark w. Python,带Python的基准测试,
Step 3.5 Flash + PaCoRe,步骤3.5闪存+PaCoRe,
evaluationmethod,评估方法,
repeat@64,repeat@64,
detailedsystem prompts,详细系统提示,
LLM judge,大语言模型裁判,
BrowseComp (w. Ctx Manage),带上下文管理的浏览组件,
discard-all methodology,丢弃全部方法,
full BrowseComp dataset,完整浏览组件数据集,
context length threshold,上下文长度阈值,
agent discards its entire context,代理丢弃其整个上下文,
operational loop,操作循环,
maximum iteration constraint,最大迭代约束,
context management strategies,上下文管理策略,
200 instances,200个实例,
BrowseC-omp,浏览组件,
Summary,摘要,
Keep-first&lastK,保留首尾K,
Multi-agent orchestration,多代理协调,
Table 17,表17,
model demonstrates robust adaptability,模型展示出强大的适应性,
single-agent strategies,单代理策略,
test-time pass@k strategy,测试时pass@k策略,
self-verified path,自我验证路径,
real steps,实际步数,
inference cost,推理成本,
context management,上下文管理,
R E S E A R C H R U B R I C S,研究问题集,
domain-diverse research tasks,领域多样化的研究任务,
"expert-written, fine-grained scoring criteria",专家编写的细粒度评分标准,
factual accuracy,事实准确性,
reasoning soundness,推理合理性,
clarity,清晰度,
commercial agent systems,商业代理系统,
ReAct agents,ReAct代理,
Iz Beltagy,Iz Beltagy,
Matthew E. Peters,Matthew E. Peters,
Arman Cohan,Arman Cohan,
Longformer,Longformer,
Gemma Team,Gemma Team,
Aishwarya Kamath,Aishwarya Kamath,
Johan Ferret,Johan Ferret,
Yaniv Leviathan,Yaniv Leviathan,
Matan Kalman,Matan Kalman,
Yossi Matias,Yossi Matias,
Fast inference from transformers via speculative decoding,基于推测解码的 transformer 快速推理,
"Proceedings of the 40th International Conference on Machine Learning, ICML’23",第 40 届机器学习国际会议，ICML’23,
Imanol Schlag,Imanol Schlag,
Kazuki Irie,Kazuki Irie,
Jürgen Schmidhuber,Jürgen Schmidhuber,
Linear transformers are secretly fast weight programmers,线性 transformer 暗中是快速权重程序员,
International conference on machine learning,机器学习国际会议,
Jikai Wang,Jikai Wang,
Yi Su,Yi Su,
Juntao Li,Juntao Li,
Qingrong Xia,Qingrong Xia,
Zi Ye,Zi Ye,
Xinyu Duan,Xinyu Duan,
Zhefeng Wang,Zhefeng Wang,
Min Zhang,Min Zhang,
Opt-tree,Opt-tree,
Speculative decoding with adaptive draft tree structure,具有自适应草稿树结构的推测解码,
Transactions of the Association for Computational Linguistics,计算语言学协会汇刊,
Yunfan Xiong,Yunfan Xiong,
Ruoyu Zhang,Ruoyu Zhang,
Yanzeng Li,Yanzeng Li,
Lei Zou,Lei Zou,
Dyspec,Dyspec,
Faster speculative decoding with dynamic token tree structure,具有动态标记树结构的更快推测解码,
World Wide Web,万维网,
Haoran You,Haoran You,
Yichao Fu,Yichao Fu,
Zheng Wang,Zheng Wang,
Amir Yazdanbakhsh,Amir Yazdanbakhsh,
Yingyan (Celine) Lin,Yingyan (Celine) Lin,
"Proceedings of the 41st International Conference on Machine Learning, ICML’24",第 41 届机器学习国际会议，ICML’24,
Joshua Ainslie,Joshua Ainslie,
James Lee-Thorp,James Lee-Thorp,
Michiel de Jong,Michiel de Jong,
Yury Zemlyanskiy,Yury Zemlyanskiy,
Federico Lebron,Federico Lebron,
Sumit Sanghai,Sumit Sanghai,
GQA,GQA,
Training generalized multi-query transformer models from multi-head checkpoints,从多头检查点训练广义多查询 transformer 模型,
Houda Bouamor,Houda Bouamor,
Juan Pino,Juan Pino,
Kalika Bali,Kalika Bali,
Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,2023 年自然语言处理经验方法会议论文集,
Yuhui Li,Yuhui Li,
Fangyun Wei,Fangyun Wei,
Chao Zhang,Chao Zhang,
Hongyang Zhang,Hongyang Zhang,
EAGLE,EAGLE,
Speculative sampling requires rethinking feature uncertainty,推测采样需要重新思考特征不确定性,
Thomas Mesnard,Thomas Mesnard,
Cassidy Hardin,Cassidy Hardin,
Robert Dadashi,Robert Dadashi,
Surya Bhupatiraju,Surya Bhupatiraju,
Shreya Pathak,Shreya Pathak,
Laurent Sifre,Laurent Sifre,
Morgane Rivière,Morgane Rivière,
Mihir Sanjay Kale,Mihir Sanjay Kale,
Juliette Love,Juliette Love,
Team Cohere,Team Cohere,
Aakanksha,Aakanksha,
Arash Ahmadian,Arash Ahmadian,
Marwan Ahmed,Marwan Ahmed,
Command a,Command a,
An enterprise-ready large language model,企业级大语言模型,
Guangxuan Xiao,Guangxuan Xiao,
Yuandong Tian,Yuandong Tian,
Beidi Chen,Beidi Chen,
Song Han,Song Han,
Mike Lewis,Mike Lewis,
Efficient streaming language models with attention sinks,具有注意力汇流的流式语言模型,
The Twelfth International Conference on Learning Representations,第 12 届学习表示国际会议,
Mingjie Sun,Mingjie Sun,
Xinlei Chen,Xinlei Chen,
J Zico Kolter,J Zico Kolter,
Zhuang Liu,Zhuang Liu,
Massive activations in large language models,大语言模型中的大规模激活,
First Conference on Language Modeling,语言建模第一次会议,
Xiangming Gu,Xiangming Gu,
Tianyu Pang,Tianyu Pang,
Chao Du,Chao Du,
Qian Liu,Qian Liu,
Fengzhuo Zhang,Fengzhuo Zhang,
Cunxiao Du,Cunxiao Du,
Ye Wang,Ye Wang,
Min Lin,Min Lin,
When attention sink emerges in language models: An empirical view,当注意力汇流在语言模型中出现：一种经验性观点,
The Thirteenth International Conference on Learning Representations,第 13 届学习表示国际会议,
John Jumper,John Jumper,
Richard Evans,Richard Evans,
Alexander Pritzel,Alexander Pritzel,
Tim Green,Tim Green,
Michael Figurnov,Michael Figurnov,
Olaf Ronneberger,Olaf Ronneberger,
Kathryn Tunyasuvunakool,Kathryn Tunyasuvunakool,
Russ Bates,Russ Bates,
Augustin Žídek,Augustin Žídek,
Anna Potapenko,Anna Potapenko,
Alex Bridgland,Alex Bridgland,
Clemens Meyer,Clemens Meyer,
Simon A. A. Kohl,Simon A. A. Kohl,
Andrew J. Ballard,Andrew J. Ballard,
Andrew Cowie,Andrew Cowie,
Bernardino Romera- Paredes,Bernardino Romera- Paredes,
Stanislav Nikolov,Stanislav Nikolov,
Rishub Jain,Rishub Jain,
Jonas Adler,Jonas Adler,
Trevor Back,Trevor Back,
Stig Petersen,Stig Petersen,
David Reiman,David Reiman,
Ellen Clancy,Ellen Clancy,
Michal Zielinski,Michal Zielinski,
Martin Steinegger,Martin Steinegger,
Michalina Pacholska,Michalina Pacholska,
Tamas Berghammer,Tamas Berghammer,
Sebastian Bodenstein,Sebastian Bodenstein,
David Silver,David Silver,
Oriol Vinyals,Oriol Vinyals,
Andrew W. Senior,Andrew W. Senior,
Koray Kavukcuoglu,Koray Kavukcuoglu,
Pushmeet Kohli,Pushmeet Kohli,
Demis Hassabis,Demis Hassabis,
Highly accurate protein structure prediction with AlphaFold,使用 AlphaFold 的高精度蛋白质结构预测,
Nature,自然,
AlphaFold,AlphaFold,
